CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;CHL_01;OXYM_01;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL18196_2515;11;47.89333;-65.4575;442110;5.06;07-sep-18;18:01:00;28.14;14.46;274.12308;7.884;1;6.1525;0.151;0.015;1;0.115;1;0.265;1;3.02;1;256;0.43;0.04
18TL18196_2515;11;47.89333;-65.4575;442109;24.89;07-sep-18;18:01:00;29.37;5.48;277.02598;7.654;0.19;NaN;0.062;0.155;1;5.915;1;0.925;1;11.85;1;0;6.39;0.50
18TL18196_2515;11;47.89333;-65.4575;442108;55.82;07-sep-18;18:01:00;31.45;0.76;239.8242;7.48;0.25;5.3715;0.045;0.15;1;11.305;1;1.58;1;25.065;1;256;7.16;0.45
18TL18196_2529;221;47.9755;-65.24717;442177;5.45;11-sep-18;02:50:00;27.98;15.68;271.13086;8.002;0.77;6.071;0.15;0;1;0.07;1;0.145;1;2.505;1;256;0.48;0.03
18TL18196_2529;221;47.9755;-65.24717;442176;24.89;11-sep-18;02:50:00;29.23;11.23;284.52886;7.896;0.335;NaN;0.074;0.075;1;1.08;1;0.415;1;1.465;1;0;2.60;0.74
18TL18196_2529;221;47.9755;-65.24717;442175;51.85;11-sep-18;02:50:00;31.03;1.78;275.95414;7.68;0.13;6.1225;0.049;0.13;1;7.495;1;1.105;1;13.94;1;256;6.78;0.54
18TL18196_2530;281;47.88283;-65.279;442180;5.35;12-sep-18;17:59:00;27.8;16.26;268.98718;7.981;1.33;6.0065;0.185;0.01;1;0.15;1;0.125;1;2.425;1;256;1.20;0.06
18TL18196_2530;281;47.88283;-65.279;442179;25.98;12-sep-18;17:59:00;28.74;9.07;265.81632;7.775;0.57;NaN;0.101;0.105;1;0.84;1;0.485;1;5.645;1;0;1.73;0.15
18TL18196_2530;281;47.88283;-65.279;442178;65.73;12-sep-18;17:59:00;31.18;0.89;239.42226;7.474;0.05;5.378;0.047;0.12;1;11.24;1;1.565;1;26.36;1;256;7.18;0.43
18TL18196_2531;321;47.92833;-64.061;442186;5.35;13-sep-18;05:13:00;28.46;12.1;304.3579;7.95;1.41;6.7195;0.174;0.01;1;0.15;1;0.285;1;0.295;1;256;0.53;0.51
18TL18196_2531;321;47.92833;-64.061;442185;25.28;13-sep-18;05:13:00;30.05;6.73;288.77156;7.726;0.27;NaN;0.063;0.14;1;3.415;1;0.67;1;5.295;1;0;5.10;0.64
18TL18196_2531;321;47.92833;-64.061;442184;66.63;13-sep-18;05:13:00;31.83;0.75;277.20462;7.603;0.045;6.1505;0.037;0.145;1;9.49;1;1.245;1;15.48;1;256;7.62;0.61
18TL18196_2532;331;47.86333;-63.51883;442190;5.26;13-sep-18;08:25:00;28.23;16.77;259.60858;7.956;0.665;5.9335;0.126;0.075;1;0.57;1;0.22;1;2.1;1;256;2.59;0.27
18TL18196_2532;331;47.86333;-63.51883;442189;24.79;13-sep-18;08:25:00;30.81;1.75;316.77338;7.677;0.1;NaN;0.045;0.495;1;4.655;1;1.02;1;9.88;1;0;4.56;0.47
18TL18196_2532;331;47.86333;-63.51883;442188;50.47;13-sep-18;08:25:00;31.53;0.13;252.7756;7.506;0.04;NaN;0.04;0.185;1;9.93;1;1.4;1;21.23;1;0;7.09;0.47
18TL18196_2532;331;47.86333;-63.51883;442187;65.54;13-sep-18;08:25:00;31.93;0.34;253.13288;7.518;0.035;5.6185;0.039;0.11;1;11.29;1;1.41;1;21.94;1;256;8.01;0.51
18TL18196_2533;351;47.975;-63.00533;442197;4.86;13-sep-18;15:09:00;28.41;16.49;263.18138;7.981;0.68;5.939;0.123;0.015;1;0.15;1;0.075;1;1.05;1;256;2.00;0.14
18TL18196_2533;351;47.975;-63.00533;442196;24.59;13-sep-18;15:09:00;29.92;7.8;293.37154;7.823;0.41;NaN;0.083;0.29;1;1.205;1;0.48;1;2.15;1;0;2.51;0.56
18TL18196_2533;351;47.975;-63.00533;442195;61.77;13-sep-18;15:09:00;31.46;0.17;286.53856;7.585;0.04;6.3055;0.044;0.22;1;8.485;1;1.24;1;16.455;1;256;6.84;0.52
18TL18196_2534;471;47.54167;-62.30233;442238;4.96;16-sep-18;12:33:00;28.7;17.07;261.75226;7.973;0.56;5.8105;0.096;0.01;1;0.22;1;0.16;1;1.405;1;256;1.38;0.16
18TL18196_2534;471;47.54167;-62.30233;442237;24.79;16-sep-18;12:33:00;30.58;7.18;277.1153;7.736;0.205;NaN;0.067;0.195;1;1.6;1;0.775;1;6.48;1;0;2.06;0.25
18TL18196_2534;471;47.54167;-62.30233;442236;57.61;16-sep-18;12:33:00;31.31;1.54;254.562;7.611;0.03;5.5545;0.046;0.16;1;3.9;1;1.2;1;20.36;1;256;3.25;0.19
18TL18196_2535;481;47.5675;-62.09217;442241;4.56;16-sep-18;15:40:00;28.84;17.01;262.3775;7.989;0.72;4.214;0.108;0.01;1;0.155;1;0.095;1;1.015;1;1280;1.63;0.15
18TL18196_2535;481;47.5675;-62.09217;442240;24.99;16-sep-18;15:40:00;30.57;7.63;259.56392;7.682;0.23;NaN;0.066;0.21;1;1.66;1;0.795;1;7.365;1;0;2.09;0.23
18TL18196_2535;481;47.5675;-62.09217;442239;38.67;16-sep-18;15:40:00;31.04;4.1;231.16016;7.703;0.065;3.635;0.048;0.265;1;3.275;1;1.23;1;16.815;1;256;2.66;0.19
18TL18196_2536;491;47.57133;-61.89733;442244;5.35;16-sep-18;18:43:00;28.83;17.99;268.36194;8.076;2.32;5.972;0.213;0.01;1;0.16;1;0.105;1;1.755;1;256;1.52;0.09
18TL18196_2536;491;47.57133;-61.89733;442243;16.86;16-sep-18;18:43:00;29.04;16.62;233.25918;7.915;1.655;NaN;0.219;0.01;1;0.175;1;0.3;1;2.945;1;0;0.58;0.06
18TL18196_2536;491;47.57133;-61.89733;442242;32.72;16-sep-18;18:43:00;30.33;9.72;230.31162;7.846;0.42;4.8055;0.1;0.15;1;1.495;1;0.805;1;8.34;1;256;1.86;0.18
18TL18196_2537;501;47.68233;-61.85033;442247;5.35;16-sep-18;21:11:00;28.75;17.61;267.96;8.052;2.145;6.0155;0.235;0.01;1;0.155;1;0.115;1;1.47;1;256;1.35;0.11
18TL18196_2537;501;47.68233;-61.85033;442246;25.48;16-sep-18;21:11:00;30.29;10.05;255.85714;7.792;0.41;NaN;0.091;0.13;1;1.185;1;0.72;1;6.8;1;0;1.65;0.17
18TL18196_2537;501;47.68233;-61.85033;442245;36.09;16-sep-18;21:11:00;30.71;7.4;234.2417;7.807;0.21;5.227;0.057;0.18;1;1.925;1;0.9;1;9.88;1;256;2.14;0.19
18TL18196_2538;511;47.91683;-61.39383;442251;5.16;17-sep-18;01:24:00;28.77;16.68;264.1639;8.025;0.72;5.957;0.125;0.01;1;0.155;1;0.09;1;0.935;1;256;1.72;0.17
18TL18196_2538;511;47.91683;-61.39383;442250;25.48;17-sep-18;01:24:00;30.12;12.18;283.72498;7.848;0.545;NaN;0.087;0.06;1;0.625;1;0.415;1;2.94;1;0;1.51;0.21
18TL18196_2538;511;47.91683;-61.39383;442249;50.27;17-sep-18;01:24:00;31.29;1.65;314.49572;7.769;0.095;NaN;0.048;0.36;1;4.63;1;0.915;1;8.575;1;0;5.06;0.54
18TL18196_2538;511;47.91683;-61.39383;442248;54.73;17-sep-18;01:24:00;31.3;1.66;315.12096;7.816;0.1;6.913;0.041;0.305;1;3.96;1;0.805;1;7.26;1;256;4.92;0.55
18TL18196_2539;551;47.81283;-62.88667;442267;4.96;17-sep-18;18:16:00;28.16;17.99;257.55422;8.025;0.84;4.358;0.141;0.01;1;0.165;1;0.05;1;0.64;1;1280;3.30;0.26
18TL18196_2539;551;47.81283;-62.88667;442266;24.89;17-sep-18;18:16:00;29.68;11.14;275.3289;7.833;0.41;NaN;0.084;0.045;1;0.33;1;0.345;1;2.1;1;0;0.96;0.16
18TL18196_2539;551;47.81283;-62.88667;442265;50.07;17-sep-18;18:16:00;31.13;1.32;285.3774;7.667;0.04;NaN;0.047;0.63;1;5.185;1;1.1;1;14.785;1;0;4.71;0.35
18TL18196_2539;551;47.81283;-62.88667;442264;71.38;17-sep-18;18:16:00;31.59;0.06;264.25322;7.666;0.03;3.9675;0.042;0.27;1;9.185;1;1.345;1;21.2;1;256;6.83;0.43
18TL18196_2540;581;47.49817;-63.038;442270;5.06;17-sep-18;22:57:00;28.43;17.98;258.44742;8.041;0.905;5.8395;0.133;0.01;1;0.155;1;0.075;1;0.845;1;256;2.07;0.18
18TL18196_2540;581;47.49817;-63.038;442269;25.29;17-sep-18;22:57:00;30.34;6.25;319.27434;7.845;0.58;NaN;0.101;0.155;1;1.12;1;0.605;1;2.905;1;0;1.85;0.39
18TL18196_2540;581;47.49817;-63.038;442268;52.95;17-sep-18;22:57:00;31.18;1.23;285.1541;7.749;0.07;6.1025;0.044;0.58;1;5.24;1;1.095;1;17.26;1;256;4.79;0.30
18TL18196_2541;591;47.32267;-63.95017;442273;5.65;18-sep-18;05:16:00;28.95;14.39;287.29778;7.883;0.72;6.3175;0.106;0.01;1;0.305;1;0.25;1;1.17;1;256;1.22;0.26
18TL18196_2541;591;47.32267;-63.95017;442272;25.48;18-sep-18;05:16:00;30.66;2.74;259.34062;7.658;0.15;NaN;0.045;0.195;1;7;1;1.1;1;16.655;1;0;6.36;0.42
18TL18196_2541;591;47.32267;-63.95017;442271;39.56;18-sep-18;05:16:00;30.81;2.06;264.74448;7.76;0.12;5.6515;0.044;0.18;1;7.665;1;1.15;1;18.555;1;256;6.67;0.41
18TL18196_2542;601;47.164;-64.2125;442276;4.66;18-sep-18;08:41:00;28.53;16.33;270.90756;8.024;0.7;4.716;0.119;0.01;1;0.155;1;0.175;1;0.96;1;1280;0.89;0.16
18TL18196_2542;601;47.164;-64.2125;442275;25.09;18-sep-18;08:41:00;29.65;10.83;282.60848;7.935;0.52;NaN;0.073;0.05;1;1.045;1;0.445;1;1.465;1;0;2.35;0.71
18TL18196_2542;601;47.164;-64.2125;442274;40.66;18-sep-18;08:41:00;30.51;4.5;287.78904;7.857;0.21;3.8615;0.054;0.205;1;3.97;1;0.82;1;8.83;1;256;4.84;0.45
18TL18196_2543;611;47.1755;-64.51883;442279;4.96;18-sep-18;11:51:00;28.28;17.29;263.62798;8.057;0.94;4.65;0.164;0.01;1;0.15;1;0.135;1;0.93;1;1280;1.11;0.16
18TL18196_2543;611;47.1755;-64.51883;442278;25.29;18-sep-18;11:51:00;29.4;11.24;279.25898;7.919;0.615;NaN;0.081;0.03;1;0.78;1;0.405;1;1.215;1;0;1.93;0.64
18TL18196_2543;611;47.1755;-64.51883;442277;31.63;18-sep-18;11:51:00;29.88;8.05;260.72508;7.891;0.325;4.008;0.065;0.15;1;2.91;1;0.74;1;9.43;1;256;3.93;0.31
18TL18196_2544;621;47.09183;-64.6085;442281;5.45;18-sep-18;14:06:00;28.55;16.35;269.65708;8.049;1;4.213;0.162;0.01;1;0.805;1;0.18;1;1.025;1;1280;4.47;0.79
18TL18196_2544;621;47.09183;-64.6085;442280;23.5;18-sep-18;14:06:00;29.44;9.47;240.80672;7.857;0.53;3.791;0.08;0.145;1;2.485;1;0.68;1;8.135;1;256;3.65;0.31
18TL18196_2545;631;47.06983;-64.58533;442283;5.06;18-sep-18;15:26:00;28.57;15.97;272.69396;8.044;0.96;6.1295;0.175;0.01;1;0.78;1;0.175;1;1.045;1;256;4.46;0.75
18TL18196_2545;631;47.06983;-64.58533;442282;24.89;18-sep-18;15:26:00;29.59;9.42;252.28434;7.9;0.36;5.616;0.084;0.13;1;2.715;1;0.66;1;7.62;1;256;4.11;0.36
18TL18196_2546;641;46.9535;-64.38033;442286;5.26;20-sep-18;00:37:00;28.37;15.83;257.28626;8.008;1.41;5.803;0.181;0.01;1;0.745;1;0.23;1;1.285;1;256;3.24;0.58
18TL18196_2546;641;46.9535;-64.38033;442285;25.49;20-sep-18;00:37:00;29.57;8.55;241.96788;7.77;0.46;NaN;0.08;0.245;1;3.835;1;0.855;1;10.025;1;0;4.49;0.38
18TL18196_2546;641;46.9535;-64.38033;442284;32.13;20-sep-18;00:37:00;29.8;6.45;247.4164;7.842;0.58;5.4955;0.079;0.29;1;4.545;1;0.905;1;11.975;1;256;5.02;0.38
18TL18196_2547;651;46.95933;-64.4255;442289;5.36;20-sep-18;02:46:00;28.31;16.25;256.52704;8.028;1.515;5.786;0.181;0.01;1;0.905;1;0.225;1;0.605;1;256;4.02;1.50
18TL18196_2547;651;46.95933;-64.4255;442288;25.29;20-sep-18;02:46:00;29.06;12.58;274.74832;7.91;0.8;NaN;0.111;0.01;1;1.14;1;0.365;1;1.44;1;0;3.12;0.79
