CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL10052_1109;831;47.67117;-59.87267;344408;8.33;15-aug-10;01:26:00;30.72;17.56;257.64354;8.177;5.851;0.685;2.237;0.025;1;0.045;1;0.13;1;0.73667;1;256;0.35;0.06
18TL10052_1109;831;47.67117;-59.87267;344407;17.65;15-aug-10;01:26:00;31.28;11.17;299.35598;8.141;6.6155;0.39;6.749;0.015;1;0.075;1;0.225;1;0.94;1;256;0.33;0.08
18TL10052_1109;831;47.67117;-59.87267;344406;53.44;15-aug-10;01:26:00;32.25;3.83;318.4258;8.033;NaN;NaN;1.52;0.2;1;2.78;1;0.57;1;1.375;2;2048;4.88;2.02
18TL10052_1109;831;47.67117;-59.87267;344405;251.82;15-aug-10;01:26:00;34.65;6.55;157.91776;7.877;3.564;NaN;0.209;0.025;1;21.07;1;1.465;1;18.205;1;256;14.38;1.16
18TL10052_1109;831;47.67117;-59.87267;344404;509.66;15-aug-10;01:26:00;34.89;5.35;185.16036;7.881;4.187;NaN;0.223;0.03333;1;16.5;1;1.31667;1;16.55;1;256;12.53;1.00
18TL10052_1110;851;47.58783;-59.3395;344412;5.06;15-aug-10;05:53:00;31.35;12.66;289.35214;8.123;6.52;NaN;3.84;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL10052_1110;851;47.58783;-59.3395;344411;14.68;15-aug-10;05:53:00;31.92;7.58;323.82966;8.109;7.252;NaN;4.678;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL10052_1110;851;47.58783;-59.3395;344410;233.6;15-aug-10;05:53:00;34.61;6.35;164.21482;7.872;3.6725;NaN;0.245;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL10052_1111;871;47.26883;-59.777;344418;5.26;15-aug-10;09:32:00;30.68;17.62;257.50956;8.173;5.8325;0.375;2.461;0.025;1;0.05;1;0.12;1;0.64;1;256;0.42;0.08
18TL10052_1111;871;47.26883;-59.777;344417;15.17;15-aug-10;09:32:00;31.48;9.93;306.85886;8.114;6.8555;0.675;3.997;0.035;1;0.07;1;0.295;1;1.12333;1;256;0.24;0.06
18TL10052_1111;871;47.26883;-59.777;344416;20.82;15-aug-10;09:32:00;31.54;2.9;339.6393;8.05;NaN;1.225;5.578;0.125;1;1.02;1;0.52;1;2.83;1;0;1.96;0.36
18TL10052_1111;871;47.26883;-59.777;344415;52.65;15-aug-10;09:32:00;32.24;2.15;326.9112;7.999;NaN;0.12;0.684;0.155;1;4.645;1;0.645;1;3.03667;1;0;7.20;1.53
18TL10052_1111;871;47.26883;-59.777;344414;249.06;15-aug-10;09:32:00;34.68;6.2;155.23816;7.847;3.4805;NaN;0.227;0.025;1;22.08;1;1.495;1;19.32;1;256;14.77;1.14
18TL10052_1111;871;47.26883;-59.777;344413;444.09;15-aug-10;09:32:00;34.85;5.25;165.50996;7.799;3.7185;NaN;0.247;0.025;1;21.99;1;1.58;1;28.49333;1;256;13.92;0.77
18TL10052_1112;891;47.27133;-60.30533;344421;5.16;15-aug-10;14:23:00;29.93;18.48;253.57948;8.212;5.759;NaN;1.573;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL10052_1112;891;47.27133;-60.30533;344420;16.06;15-aug-10;14:23:00;30.83;15.67;270.95222;8.15;6.1215;NaN;6.422;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL10052_1112;891;47.27133;-60.30533;344419;197.74;15-aug-10;14:23:00;34.36;5.89;173.99536;7.865;3.928;NaN;0.262;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL10052_1113;901;47.65883;-60.462;344427;5.85;15-aug-10;17:34:00;30.69;17.74;258.09014;8.183;5.902;0.5;1.702;0.04;1;0.07;1;0.12;1;0.65667;1;256;0.58;0.11
18TL10052_1113;901;47.65883;-60.462;344426;15.87;15-aug-10;17:34:00;30.96;14.34;279.92888;8.163;6.211;0.75;3.97;0.035;1;0.085;1;0.16;1;0.83667;1;256;0.53;0.10
18TL10052_1113;901;47.65883;-60.462;344425;24.29;15-aug-10;17:34:00;31.83;8.14;316.01416;8.113;NaN;1.19;6.377;0.035;1;0.095;1;0.3;1;1.20333;1;0;0.32;0.08
