CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL09051_1051;11;46.95933;-60.21917;342755;2.18;31-jul-09;20:22:00;28.82;18.79;273.5425;8.449;NaN;NaN;1.966;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL09051_1051;11;46.95933;-60.21917;342754;12.4;31-jul-09;20:22:00;28.95;17.25;274.8823;8.429;NaN;NaN;3.608;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL09051_1051;11;46.95933;-60.21917;342753;16.36;31-jul-09;20:22:00;28.98;17.22;273.05124;8.397;NaN;NaN;3.177;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL09051_1051;11;46.95933;-60.21917;342752;48.59;31-jul-09;20:22:00;31.74;0.08;305.11712;8.126;6.235;NaN;0.687;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL09051_1051;11;46.95933;-60.21917;342751;79.32;31-jul-09;20:22:00;32.44;0.75;307.35012;8.239;NaN;NaN;0.446;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL09051_1052;21;47.02667;-60.11117;342761;1.49;31-jul-09;22:44:00;28.79;17.75;NaN;8.437;6.129;1.085;3.813;0.015;1;0.09;1;0.06;1;1.065;1;0;1.50;0.08
18TL09051_1052;21;47.02667;-60.11117;342760;15.17;31-jul-09;22:44:00;29.06;16.73;273.14056;8.374;6.197;1.235;2.671;0.015;1;0.145;1;0.095;1;0.935;1;256;1.53;0.16
18TL09051_1052;21;47.02667;-60.11117;342759;31.93;31-jul-09;22:44:00;30.94;4.1;346.69558;8.299;NaN;0.605;2.631;0.08;1;1.4;1;0.56;1;2.19;1;0;2.50;0.64
18TL09051_1052;21;47.02667;-60.11117;342758;49.58;31-jul-09;22:44:00;31.51;0.34;317.13066;8.139;NaN;0.23;0.82;0.2;1;5.33;1;1.04;1;8.13;1;0;5.13;0.66
18TL09051_1052;21;47.02667;-60.11117;342757;163.56;31-jul-09;22:44:00;33.33;2.28;240.76206;8.109;5.216;NaN;0.175;0.06;1;14.97;1;1.345;1;13.575;1;256;11.13;1.10
18TL09051_1053;31;47.10083;-59.9885;342765;3.57;31-jul-09;23:45:00;29.41;18.55;268.94252;8.387;5.96;NaN;1.714;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL09051_1053;31;47.10083;-59.9885;342764;15.27;31-jul-09;23:45:00;29.68;16.1;272.47066;8.329;6.067;NaN;2.186;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL09051_1053;31;47.10083;-59.9885;342763;246.68;31-jul-09;23:45:00;34.51;5.26;152.37992;8.041;3.433;NaN;0.115;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL09051_1053;31;47.10083;-59.9885;342762;305.51;31-jul-09;23:45:00;34.68;5.34;155.23816;8.054;3.4445;NaN;0.116;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL09051_1054;41;47.273;-59.784;342769;1.69;01-aug-09;01:36:00;29.71;16.86;274.97162;8.347;NaN;NaN;1.801;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL09051_1054;41;47.273;-59.784;342768;15.47;01-aug-09;01:36:00;30.91;8.75;324.09762;8.3;NaN;NaN;2.533;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL09051_1054;41;47.273;-59.784;342767;240.64;01-aug-09;01:36:00;34.31;5.03;180.24776;8.084;4.051;NaN;0.114;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL09051_1054;41;47.273;-59.784;342766;442.5;01-aug-09;01:36:00;34.83;5.06;173.45944;8.078;3.861;NaN;0.12;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL09051_1055;51;47.503;-59.9985;342773;1.19;01-aug-09;04:23:00;29.73;16.74;271.0862;8.335;6.02;NaN;1.481;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18TL09051_1055;51;47.503;-59.9985;342772;14.78;01-aug-09;04:23:00;30.27;7.19;311.90544;8.254;7.004;NaN;2.397;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
